主題,プロンプト,出力例,コメント
37. ブログ導入→まとめの型,"「下書き」から、短時間で書ける本文骨子を作成してください。“導入100字/ポイント3つ/まとめ1行/明日の一手1行”。読み手のベネフィットを先頭に置く。専門語は避け、名詞と動作で書く。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
導入(〜100字): {本文}
ポイント:
- {要点1（20字以内）}
- {要点2（20字以内）}
- {要点3（20字以内）}
まとめ: {1行}
明日の一手: {1行}","導入(〜100字): 3分で前進する方法です。下書きをAIに投げて1行で要約。“次の一手”を決めるだけで毎日が軽くなります。
ポイント:
- 下書きをAIへ
- 1行で要約
- 一手を決める
まとめ: 行動は最小化すると続きます。
明日の一手: 朝イチの3分を固定。",“導入100字”は書き始めの壁を下げます。
38. Instagramハッシュタグ設計,"「下書き」のテーマに沿って、ハッシュタグ候補を“メガ/ミドル/ニッチ”の3階層で提示してください。各階層3〜5個、本文と分けてタグのみ列挙。重複や造語は避ける。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
メガ: #タグ #タグ #タグ
ミドル: #タグ #タグ #タグ
ニッチ: #タグ #タグ #タグ","メガ: #学び #時間術 #習慣化
ミドル: #朝活 #小さな一歩 #丁寧な暮らし
ニッチ: #3分ミッション #今日の一手 #AI習慣",階層を混ぜると“露出×関連性”のバランスが取れます。
39. スライド10枚アウトライン,"「下書き」をもとに、10枚のプレゼンアウトラインを作成してください。“1:タイトル/2:現状/3:課題/4:結論/5:根拠/6:手順/7:事例/8:失敗と回避/9:明日の一手/10:まとめ”。各スライドは見出し1行＋本文1行（20字以内）。

【入力】
下書き：{下書き}

【出力フォーマット（厳守）】
1 タイトル: {1行} / 本文: {1行}
2 現状: {1行} / 本文: {1行}
3 課題: {1行} / 本文: {1行}
4 結論: {1行} / 本文: {1行}
5 根拠: {1行} / 本文: {1行}
6 手順: {1行} / 本文: {1行}
7 事例: {1行} / 本文: {1行}
8 失敗と回避: {1行} / 本文: {1行}
9 明日の一手: {1行} / 本文: {1行}
10 まとめ: {1行} / 本文: {1行}","1 タイトル: 3分で前進 / 本文: 最初の一手を固定
2 現状: 進まない / 本文: 手が大きい
3 課題: 完璧主義 / 本文: 着手が遅い
4 結論: 一手だけ動く / 本文: 朝の3分
5 根拠: 連続が成果 / 本文: 習慣化
6 手順: 3つの動き / 本文: 投げる/要約/決める
7 事例: 朝活の改善 / 本文: 実測で前進
8 失敗と回避: 時間で切る / 本文: 3分厳守
9 明日の一手: 席で開始 / 本文: 下書きをAIへ
10 まとめ: 小さく毎日 / 本文: 続けやすい道",“結論を4枚目”に置くと全体が締まります。
40. 【ネタ】炎上しそうな発信を考える,"「下書き」から、炎上回避のための“NG例→理由→安全代替”を3セット作成してください。差別・個人攻撃・誤情報・断定的煽りはNG例でも詳細化せず骨子のみ。代替案は事実と配慮のある表現に。

【入力】
下書き：{テーマ/想定読者}

【出力フォーマット（厳守）】
NG案: {危険な骨子（短く）}
理由: {なぜ危険か1行}
代替: {安全で有益な言い換え1行}

NG案: {…}
理由: {…}
代替: {…}

NG案: {…}
理由: {…}
代替: {…}","NG案: 相手の属性を断定して批判
理由: 差別的解釈と当事者傷つけの恐れ
代替: 事象と根拠を分け、行動/プロセスの改善点に限定

NG案: 強い断言で煽る「絶対〜」
理由: 誤情報拡散・期待値誤誘導のリスク
代替: 条件と前提を明示し「〜と考えます」に緩和

NG案: 他社の未公開情報を示唆
理由: 守秘違反や法的リスク
代替: 公開情報と一般論のみで示唆、出典を明記
",燃やすのは情熱だけ。NG→理由→代替の三段跳びで、同じ主張を“安心して刺さる版”にリライトするのが大人の広報
41. 解決アイデアを5つ出す,"「下書き」から課題を読み取り、実行可能な解決アイデアを5つ作成してください。各案は「手段＋対象＋効果」を1行で示し、難易度と期待効果を添えてください。最後に“最初の一手”を1行で。
【入力】下書き:{下書き}
【出力フォーマット（厳守）】
アイデア1: {手段/対象/効果} / 難易度:{低/中/高} / 期待効果:{一言}
アイデア2: {…} / 難易度:{…} / 期待効果:{…}
アイデア3: {…} / 難易度:{…} / 期待効果:{…}
アイデア4: {…} / 難易度:{…} / 期待効果:{…}
アイデア5: {…} / 難易度:{…} / 期待効果:{…}
最初の一手:{着手すべき1案と理由を1行}","アイデア1: 問い合わせフォームを3設問に簡略/新規客/返信遅延の減少 / 難易度:低 / 期待効果:対応時間-20%
アイデア2: よくある質問の自動返信/全体/一次回答の即時化 / 難易度:中 / 期待効果:初動24h→即時
アイデア3: 優先度タグ付け運用/サポート/緊急案件の先出し / 難易度:中 / 期待効果:SLA遵守↑
アイデア4: 週次の原因分析ミーティング/担当者/遅延原因の特定 / 難易度:中 / 期待効果:再発率↓
アイデア5: 休日シフトの再配置/全体/ピーク平準化 / 難易度:高 / 期待効果:待ち時間-30%
最初の一手: アイデア1のフォーム簡略を本日中に試作—即日効果が見込めるため。","“手段/対象/効果”で切ると、現場がすぐ動きます。

---"
42. 価値提案を3本作る,"「下書き」をもとに“誰の/何のために/どう良くなる/なぜ今”を満たす価値提案（Value Proposition）を3本作成してください。各提案は1〜2行で明確にし、重複語を避けてください。
【入力】下書き:{下書き}
【出力フォーマット（厳守）】
VP1: 誰に:{対象}/課題:{一言}/提供価値:{一言}/仕組み:{一言}/変化:{一言}/理由(今):{一言}
VP2: …
VP3: …","VP1: 誰に:中小EC運営/課題:出荷遅延/提供価値:当日内発送率↑/仕組み:在庫自動引当/変化:クレーム-30%/理由(今):繁忙期前
VP2: 誰に:SaaS営業/課題:初回商談率低下/提供価値:予約率↑/仕組み:LP最適化/変化:CVR+2pt/理由(今):広告単価上昇
VP3: 誰に:人事/課題:内定辞退/提供価値:辞退率↓/仕組み:入社前オンボ/変化:定着+10%/理由(今):採用競争激化","“誰に/何のために/どう良くなる”が一読で通じます。

---"
43. 価格4レンジの骨子,"「下書き」をもとに、Free/Basic/Pro/Enterpriseの4レンジ案を作成してください。各レンジは“価格/月（指定通貨）/想定ユーザー/含むもの3点/上限/備考”を1行で示してください。
【入力】下書き:{下書き} / 通貨:{円/ドルなど}
【出力フォーマット（厳守）】
Free: 価格{金額}/{通貨} / 想定:{…} / 含む:{1,2,3} / 上限:{…} / 備考:{…}
Basic: 価格{…}/{通貨} / 想定:{…} / 含む:{…} / 上限:{…} / 備考:{…}
Pro: 価格{…}/{通貨} / 想定:{…} / 含む:{…} / 上限:{…} / 備考:{…}
Enterprise: 価格{…}/{通貨} / 想定:{…} / 含む:{…} / 上限:{…} / 備考:{…}","Free: 価格0/円 / 想定:個人試用 / 含む:基本機能,履歴100件,メールサポ無 / 上限:ユーザー1 / 備考:商用不可
Basic: 価格2,000/円 / 想定:個人/小規模 / 含む:標準機能,履歴無制限,メールサポ / 上限:ユーザー3 / 備考:月払い
Pro: 価格8,000/円 / 想定:チーム / 含む:拡張機能,権限管理,優先サポ / 上限:ユーザー10 / 備考:年払い割引有
Enterprise: 価格応相談/円 / 想定:企業 / 含む:SLA,SSO,専任CS / 上限:ユーザー無制限 / 備考:個別契約","“誰向けか/何が入るか/どこまで”が並ぶと比較しやすいです。

---"
44. 成功指標（KPI）を5つ出す,"「下書き」から目的に合うKPIを5つ提案してください。各KPIに“定義/式/更新頻度/目標値（仮）”を付けてください。曖昧なら代表的な指標名で補完。
【入力】下書き:{下書き}
【出力フォーマット（厳守）】
KPI1:{名称} / 定義:{一文} / 式:{分子÷分母 等} / 頻度:{日/週/月} / 目標:{値}
KPI2:…
KPI3:…
KPI4:…
KPI5:…","KPI1: 当日返信率 / 定義:受信当日に返信した割合 / 式:当日返信件数÷受信件数 / 頻度:日 / 目標:80%
KPI2: 初回解決率 / 定義:一度の対応で解決 / 式:一次解決件数÷全解決件数 / 頻度:週 / 目標:60%
KPI3: 平均応答時間 / 定義:初回返信までの平均 / 式:総応答時間÷件数 / 頻度:日 / 目標:2h
KPI4: CSAT / 定義:顧客満足度 / 式:高評価数÷回答数 / 頻度:月 / 目標:90%
KPI5: 再問い合わせ率 / 定義:同案件の再発 / 式:再問合せ件数÷総件数 / 頻度:月 / 目標:5%未満","“定義と式”を添えると運用でブレません。

---"
45. 差別化の一言を5案,"「下書き」をもとに、差別化の“一言”を5案作成してください。各案に“型ラベル（対比/数字/時間短縮/安心/こだわり）”と“根拠”を1行で付けてください。
【入力】下書き:{下書き}
【出力フォーマット（厳守）】
案1: 型:{…} / 一言:{…} / 根拠:{データ/仕組み/事例}
…（×5）","案1: 型:対比 / 一言:同じ時間で2倍進む / 根拠:自動化で工数-50%
案2: 型:数字 / 一言:解約率を3%下げる / 根拠:導入企業50社の平均
案3: 型:時間短縮 / 一言:初回設定は10分 / 根拠:テンプレ適用
案4: 型:安心 / 一言:万一でも即日復旧 / 根拠:SLA/体制
案5: 型:こだわり / 一言:現場の声で毎月改良 / 根拠:ユーザー会の運用","“型×根拠”で刺さる一言が安定します。

---"
46. 【ネタ】絶対に採用されないアイデアを3つ出す,"「下書き」から、“わざと悪いアイデア”を3つ作成し、それぞれに「ダメ理由」と「学び（採用される方向性）」を1行ずつ付けてください。誹謗・違法・危険は扱わない。

【入力】
下書き：{テーマ}

【出力フォーマット（厳守）】
アイデア1: {荒唐無稽案}
ダメ理由: {1行}
学び: {採用される方向性1行}

アイデア2: {…}
ダメ理由: {…}
学び: {…}

アイデア3: {…}
ダメ理由: {…}
学び: {…}","アイデア1: 仕様書を作らず走り出す
ダメ理由: 手戻り増で納期と品質を同時に失う
学び: 最低限の一枚仕様で認識合わせ

アイデア2: 価格を半額にして話題化
ダメ理由: 収益悪化で継続不能
学び: 期間限定の検証価格で費用対効果を測る

アイデア3: 全機能を初回で実装
ダメ理由: 複雑化と遅延が確実
学び: 最小価値から段階展開
",ダメ案は良案の輪郭を濃くする逆光。笑いで外し、学びで戻す——会議にユーモアと推進力を同時装填。
47. やらないことを5つ決める,"「下書き」から日々の行動を見直し、“NOT TO DO”を5つ作成してください。各項目に「理由/境界線/例外」を1行で付け、迷いが出ない表現にします。

【入力】下書き:{下書き}

【出力フォーマット（厳守）】
NOT1: {やらないこと} / 理由:{…} / 境界線:{やる/やらないの線} / 例外:{あれば}
NOT2: …
NOT3: …
NOT4: …
NOT5: …","NOT1: 会議で資料を作り込まない / 理由:準備過多 / 境界線:10枚超は作らない / 例外:経営報告
NOT2: 朝にメール整理をしない / 理由:集中が削がれる / 境界線:午前は作業のみ / 例外:至急タグ
NOT3: 同時進行をしない / 理由:品質低下 / 境界線:1タスク30分固定 / 例外:待ち時間のみ
NOT4: 目的不明の打合せに出ない / 理由:時間圧迫 / 境界線:目的と成果物が無いもの / 例外:初回顔合わせ
NOT5: 通知を常時ONにしない / 理由:割り込み / 境界線:朝昼夕の3回のみ / 例外:緊急連絡","“境界線”があると現場でブレません。

---"
48. 買い物の優先度づけ,"「下書き」の買い物候補を“必要度/緊急度/予算影響”で評価し、総合スコア順に並べて判断を出してください。数値は1〜5、予算影響は +/0/- で記載。

【入力】下書き:{欲しい物リスト}

【出力フォーマット（厳守）】
品目:{名称} / 必要度:{1-5} / 緊急度:{1-5} / 予算影響:{+/0/-} / 総合:{必要度+緊急度} / 判断:{今買う/待つ/不要} / 見直し日:{YYYY/MM/DD}
(×5〜10)","品目: ワークチェア / 必要度:5 / 緊急度:4 / 予算影響:- / 総合:9 / 判断:今買う / 見直し日:2025/08/20
品目: ノートPCスタンド / 必要度:3 / 緊急度:2 / 予算影響:0 / 総合:5 / 判断:待つ / 見直し日:2025/09/01
品目: サブモニター / 必要度:4 / 緊急度:3 / 予算影響:- / 総合:7 / 判断:今買う / 見直し日:2025/08/20","“数字→判断”の順にすると迷いが消えます。

---"
49. 家計の節約案5つ,"「下書き」から月次の節約案を5つ作成してください。各案に“月額見込み/実行方法/開始日/監視指標”を付与します。

【入力】下書き:{支出の現状}

【出力フォーマット（厳守）】
施策1:{内容} / 月額:{金額目安} / 方法:{…} / 開始:{YYYY/MM/DD} / 指標:{…}
(×5)","施策1: サブスク整理 / 月額:-2,000円 / 方法:未使用停止 / 開始:2025/08/12 / 指標:固定費合計
施策2: 電気プラン見直し / 月額:-1,500円 / 方法:契約切替 / 開始:2025/08/20 / 指標:使用量kWh
施策3: 自炊比率UP / 月額:-5,000円 / 方法:週4自炊 / 開始:2025/08/12 / 指標:外食回数
施策4: 通信回線統合 / 月額:-1,200円 / 方法:家族割 / 開始:2025/09/01 / 指標:通信費合計
施策5: まとめ買い / 月額:-800円 / 方法:月1購入 / 開始:2025/08/15 / 指標:食品ロス量","“開始日＋指標”で継続的に効きます。

---"
50. 健康ルーティン,"「下書き」から健康ルーティンを“朝/昼/夜”で設計してください。各パートに“行動/制約/代替”を1行で。週の計測指標も1行で示します。

【入力】下書き:{体調/目的}

【出力フォーマット（厳守）】
朝: 行動{…} / 制約{…} / 代替{…}
昼: 行動{…} / 制約{…} / 代替{…}
夜: 行動{…} / 制約{…} / 代替{…}
週の計測:{指標と頻度}","朝: 行動 水300ml/散歩10分 / 制約 雨 / 代替 室内踏み台
昼: 行動 野菜先食べ/姿勢伸ばし / 制約 外食 / 代替 スープ追加
夜: 行動 入浴/画面OFF30分前 / 制約 残業 / 代替 温シャワー5分
週の計測: 体重/睡眠時間/歩数を週1で記録","“代替”があると続けやすくなります。

---"
51. 1日のふりかえり3行,"「下書き」から1日の振り返りを3行で作成してください。“できた/改善/感謝”の順。各行20〜40字、固有名詞を1つ入れます。

【入力】下書き:{出来事}

【出力フォーマット（厳守）】
できた:{1行}
改善:{1行}
感謝:{1行}","できた: 朝の3分習慣で提案書の骨子が完成
改善: Slack確認を午前は2回に制限
感謝: 佐藤さんのレビューで方向が定まった","“感謝”を入れると継続の力になります。

---"
52. 【ネタ】定時で帰る言い訳を10種類考える,"「下書き」から、角が立たず正直な“退勤フレーズ”を10種作成してください。各行は40〜60字、言い訳ではなく境界線の共有を目的とし、代替案や連絡先を添える。虚偽や他責は不可。

【入力】
下書き：{職場状況/配慮事項}

【出力フォーマット（厳守）】
1) {短文}
2) {短文}
…（10まで）
","1) 本日は定時で退勤します。残件は明朝9時に対応します。
2) 18時以降は家庭の予定のため不在です。至急はチャットでお願いします。
3) 本日の作業は区切りまで完了しました。続きは明日10時に着手します。
4) 会議メモは共有済みです。質問はスレッドでお願いします。
5) 本日は集中枠のためここまで。明日午前は開放しています。
6) 締切のある案件は全て対応済みです。急ぎがあればお知らせください。
7) 退勤後は通知OFFにします。緊急は電話で承ります。
8) タスクは看板に更新しました。引き継ぎ不要です。
9) 今日は体調管理のため無理せず退勤します。明朝巻き返します。
10) 家族の用事のため退勤します。代替はAさんに共有済みです。
",言い訳じゃなく“境界の宣言”。代替と連絡先を置けば、時間の信用スコアは落ちない。軽やかに線引き、仕事は誠実。
53. 粗い見積りを出す,"「下書き」から粗い見積りを作成してください。単位は時間と金額。“作業/前提/式/概算工数/概算費用”を1行ずつで3〜5項目。

【入力】下書き:{作業一覧/単価}

【出力フォーマット（厳守）】
作業:{名称} / 前提:{一言} / 式:{h×単価} / 概算工数:{h} / 概算費用:{金額}
(×3〜5)","作業: 要件定義 / 前提:2回MTG / 式:6h×¥6,000 / 概算工数:6 / 概算費用:¥36,000
作業: デザイン / 前提:3案→1案 / 式:10h×¥6,000 / 概算工数:10 / 概算費用:¥60,000
作業: 実装 / 前提:基本機能のみ / 式:20h×¥6,000 / 概算工数:20 / 概算費用:¥120,000","“式を見せる”と納得度が上がります。

---"
54. 単位をそろえる,"「下書き」の数値を指定単位に統一してください。各項目に“元の単位/換算後/換算式”を付け、端数処理（四捨五入/切上/切下）も明記します。

【入力】下書き:{数値群} / 目標単位:{例:時間=時間, 長さ=cm}

【出力フォーマット（厳守）】
項目:{名称} / 元:{値と単位} / 後:{値と単位} / 式:{換算式} / 端数:{方法}
(×3〜10)","項目: 作業時間A / 元:90分 / 後:1.5時間 / 式:分÷60 / 端数:小数1位四捨五入
項目: 距離B / 元:1.2km / 後:1200m / 式:km×1000 / 端数:なし
項目: 容量C / 元:750MB / 後:0.73GB / 式:MB÷1024 / 端数:小数2位切上","“端数ルール”まで決めると再計算が一致します。

---"
55. ざっくり比較表現,"「下書き」のA/B比較を“ラベル: 値”で縦並びにしてください。観点は3〜5個。最後に“まとめ”を1行で示します。

【入力】下書き:{比較テーマ}

【出力フォーマット（厳守）】
目的: A={…} / B={…}
コスト: A={…} / B={…}
手間: A={…} / B={…}
拡張性: A={…} / B={…}
（必要に応じて追加）
まとめ:{どちらをいつ/なぜ}","目的: A=品質重視 / B=速度重視
コスト: A=中 / B=低
手間: A=高 / B=低
拡張性: A=高 / B=中
まとめ: 初期はB、安定後にAへ移行",“同じ軸”で並べると誤解が減ります。
56. 【ネタ】盛った数字をごまかせる言い回しを考える,"※不正確な数字の“ごまかし”は行いません。「下書き」から、誤記や過大評価を正しく訂正するための文例を3本作成してください。“謝意/訂正内容/影響範囲/再発防止/次の一手”の順で1〜2文。

【入力】
下書き：{誤記の内容/相手}

【出力フォーマット（厳守）】
例1: {謝意}。{訂正内容}。{影響範囲}。{再発防止}。{次の一手}。
例2: {…}
例3: {…}
","例1: ご確認ありがとうございます。売上+15%は誤りで正しくは+5%でした。見積へ影響はありません。以降は二名レビューを徹底します。修正版を本日中に共有します。
例2: 先ほどの資料に集計漏れがありました。対象は7月分の2件です。ダッシュボードを自動化し再発を防ぎます。更新版を19時までに再送します。
例3: 予測の前提が古い値を使用していました。影響は参考欄のみです。前提一覧を添付します。明日の会議で差分を説明します。
",数字は盛るより信頼を盛る。即訂正＋影響範囲＋再発防止で、ミスを“品質の演出”に反転させるのがプロ。
57. 価値観の3キーワード抽出,"「下書き」から個人の価値観を示すキーワードを3つ抽出してください。各キーワードに“根拠エピソード（1行）/行動指針（1行）”を付けます。

【入力】下書き:{出来事/選択/嬉しかったこと}

【出力フォーマット（厳守）】
価値観1:{キーワード} / 根拠:{1行} / 指針:{1行}
価値観2:{…} / 根拠:{…} / 指針:{…}
価値観3:{…} / 根拠:{…} / 指針:{…}","価値観1: 誠実 / 根拠: 約束時間を守ることを重視 / 指針: 返信は24h以内
価値観2: 学び / 根拠: 毎日読書メモを継続 / 指針: 1日1アウトプット
価値観3: 効率 / 根拠: 定型作業は自動化 / 指針: 週1で棚卸し","“根拠→指針”で言葉が行動に変わります。

---"
58. 小さなご褒美を設計,"「下書き」から行動を強化する“小さなご褒美”を3案作成してください。各案に“条件/ご褒美/コスト/時間/注意”を付けます。

【入力】下書き:{続けたい習慣}

【出力フォーマット（厳守）】
案A: 条件:{何を達成したら} / ご褒美:{…} / コスト:{…} / 時間:{…} / 注意:{…}
案B: …
案C: …","案A: 条件:朝の3分習慣を実施 / ご褒美:良いコーヒー1杯 / コスト:¥100 / 時間:10分 / 注意:夜は避ける
案B: 条件:週4運動達成 / ご褒美:新しい音楽アルバム / コスト:¥1,000 / 時間:随時 / 注意:物が増えない
案C: 条件:週報提出完了 / ご褒美:好きな動画30分 / コスト:¥0 / 時間:30分 / 注意:延長しない","“条件が先”だと自制が効きます。

---"
59. 明日の行動一行宣言,"「下書き」から、明日の行動を“1行宣言”にしてください。形式は“私は{時刻/場所}に{行動}を{所要}でやります（理由:{一言}）”。時間は24時間表記。

【入力】下書き:{明日の予定/目的}

【出力フォーマット（厳守）】
宣言:{1行}",宣言: 私は7:30に自宅デスクで下書きを要約し、3分で“次の一手”を決めます（理由:朝が一番集中できる）。,“言葉にする”だけで実行率が上がります。
60. 【ネタ】飲み会で語った夢を、翌日も恥ずかしくならない文章に直す,"「下書き（熱量の高い夢）」を、翌日読んでも実行に移せる現実的な短文に整えてください。120〜160字。“核となる目的→現実の根拠→最初の一手/期日”の順。誇張語は避け、言い切りで。

【入力】
下書き：{語った夢}

【出力フォーマット（厳守）】
本文(120〜160字): {目的→根拠→一手/期日}
次の一手: {誰が/何を/いつまでに}
","本文(120〜160字): 自分の企画で顧客の手間を減らす。現状の相談件数と改善事例が根拠だ。まずβユーザー3社に聞く。8/20までに課題を10件に整理し、9月に試作を出す。
次の一手: 私が8/14までにヒアリング項目を作成
",熱は朝の構造で磨く。夢は詩ではなく段取りで語ると、未来が一日ぶん近づく——ロマンは締切と並走させてこそ。
